Timestamp,Container,CPU%,MemUsage(MB),MemLimit(MB),Mem%
2026-02-22T14:37:23.956Z,bank-api-db,73.62,223.80,6144.00,3.64
2026-02-22T14:37:25.001Z,api-bank-app-2,81.22,76.83,1024.00,7.5
2026-02-22T14:37:25.001Z,api-bank-app-1,99.52,77.32,1024.00,7.55
2026-02-22T14:37:25.001Z,bank-api-pgbouncer,20.75,2.17,512.00,0.42
2026-02-22T14:37:25.001Z,bank-api-db,73.72,224.00,6144.00,3.65
2026-02-22T14:37:26.007Z,api-bank-app-2,95.76,76.82,1024.00,7.5
2026-02-22T14:37:26.007Z,api-bank-app-1,70.48,77.60,1024.00,7.58
2026-02-22T14:37:26.007Z,bank-api-pgbouncer,23.71,2.18,512.00,0.43
2026-02-22T14:37:26.007Z,bank-api-db,69.61,224.10,6144.00,3.65
2026-02-22T14:37:27.024Z,api-bank-app-2,72.6,76.81,1024.00,7.5
2026-02-22T14:37:27.024Z,api-bank-app-1,99.16,77.66,1024.00,7.58
2026-02-22T14:37:27.024Z,bank-api-pgbouncer,21.51,2.16,512.00,0.42
2026-02-22T14:37:27.024Z,bank-api-db,67.85,223.80,6144.00,3.64
2026-02-22T14:37:28.030Z,api-bank-app-2,76.15,77.13,1024.00,7.53
2026-02-22T14:37:28.030Z,api-bank-app-1,94.69,77.64,1024.00,7.58
2026-02-22T14:37:28.030Z,bank-api-pgbouncer,21.48,1.91,512.00,0.37
2026-02-22T14:37:28.030Z,bank-api-db,69.85,224.40,6144.00,3.65
2026-02-22T14:37:29.223Z,api-bank-app-2,65.71,76.84,1024.00,7.5
2026-02-22T14:37:29.223Z,api-bank-app-1,94.29,77.40,1024.00,7.56
2026-02-22T14:37:29.223Z,bank-api-pgbouncer,22.76,1.91,512.00,0.37
2026-02-22T14:37:29.223Z,bank-api-db,66.68,223.90,6144.00,3.64
2026-02-22T14:37:30.222Z,api-bank-app-2,94.53,77.16,1024.00,7.53
2026-02-22T14:37:30.222Z,api-bank-app-1,96.86,77.62,1024.00,7.58
2026-02-22T14:37:30.222Z,bank-api-pgbouncer,25.24,1.93,512.00,0.38
2026-02-22T14:37:30.222Z,bank-api-db,80.4,223.90,6144.00,3.64
2026-02-22T14:37:31.253Z,api-bank-app-2,91.73,77.07,1024.00,7.53
2026-02-22T14:37:31.253Z,api-bank-app-1,73.64,77.88,1024.00,7.61
2026-02-22T14:37:31.253Z,bank-api-pgbouncer,22.21,2.16,512.00,0.42
2026-02-22T14:37:31.253Z,bank-api-db,62.85,223.90,6144.00,3.64
2026-02-22T14:37:32.360Z,api-bank-app-2,41.62,76.86,1024.00,7.51
2026-02-22T14:37:32.360Z,api-bank-app-1,102.01,78.00,1024.00,7.62
2026-02-22T14:37:32.360Z,bank-api-pgbouncer,18.16,1.92,512.00,0.37
2026-02-22T14:37:32.360Z,bank-api-db,61.47,224.10,6144.00,3.65
2026-02-22T14:37:33.305Z,api-bank-app-2,57.09,77.14,1024.00,7.53
2026-02-22T14:37:33.305Z,api-bank-app-1,101.29,79.04,1024.00,7.72
2026-02-22T14:37:33.305Z,bank-api-pgbouncer,19.46,1.91,512.00,0.37
2026-02-22T14:37:33.305Z,bank-api-db,42.07,225.60,6144.00,3.67
2026-02-22T14:37:34.335Z,api-bank-app-2,91.51,77.12,1024.00,7.53
2026-02-22T14:37:34.335Z,api-bank-app-1,82.84,78.02,1024.00,7.62
2026-02-22T14:37:34.335Z,bank-api-pgbouncer,21.85,1.92,512.00,0.38
2026-02-22T14:37:34.335Z,bank-api-db,75.84,224.30,6144.00,3.65
2026-02-22T14:37:35.337Z,api-bank-app-2,94.56,76.88,1024.00,7.51
2026-02-22T14:37:35.337Z,api-bank-app-1,76.07,78.06,1024.00,7.62
2026-02-22T14:37:35.337Z,bank-api-pgbouncer,20.57,1.91,512.00,0.37
2026-02-22T14:37:35.337Z,bank-api-db,77.21,224.70,6144.00,3.66
2026-02-22T14:37:36.397Z,api-bank-app-2,99.66,77.51,1024.00,7.57
2026-02-22T14:37:36.397Z,api-bank-app-1,72,78.31,1024.00,7.65
2026-02-22T14:37:36.397Z,bank-api-pgbouncer,21.12,2.17,512.00,0.42
2026-02-22T14:37:36.397Z,bank-api-db,79.5,224.20,6144.00,3.65
2026-02-22T14:37:37.396Z,api-bank-app-2,98.35,77.44,1024.00,7.56
2026-02-22T14:37:37.396Z,api-bank-app-1,86.89,78.11,1024.00,7.63
2026-02-22T14:37:37.396Z,bank-api-pgbouncer,22.26,2.18,512.00,0.43
2026-02-22T14:37:37.396Z,bank-api-db,79.78,224.60,6144.00,3.65
2026-02-22T14:37:38.411Z,api-bank-app-2,84.42,77.74,1024.00,7.59
2026-02-22T14:37:38.411Z,api-bank-app-1,93.47,78.10,1024.00,7.63
2026-02-22T14:37:38.411Z,bank-api-pgbouncer,22.27,1.92,512.00,0.38
2026-02-22T14:37:38.411Z,bank-api-db,81.38,225.00,6144.00,3.66
2026-02-22T14:37:39.441Z,api-bank-app-2,66.02,77.69,1024.00,7.59
2026-02-22T14:37:39.441Z,api-bank-app-1,87.24,77.94,1024.00,7.61
2026-02-22T14:37:39.441Z,bank-api-pgbouncer,18.69,1.92,512.00,0.38
2026-02-22T14:37:39.441Z,bank-api-db,68.16,225.00,6144.00,3.66
2026-02-22T14:37:40.480Z,api-bank-app-2,92.34,77.73,1024.00,7.59
2026-02-22T14:37:40.480Z,api-bank-app-1,58.17,77.83,1024.00,7.6
2026-02-22T14:37:40.480Z,bank-api-pgbouncer,20.04,1.91,512.00,0.37
2026-02-22T14:37:40.480Z,bank-api-db,65.4,224.60,6144.00,3.66
2026-02-22T14:37:41.494Z,api-bank-app-2,70.72,77.67,1024.00,7.58
2026-02-22T14:37:41.494Z,api-bank-app-1,96.66,78.06,1024.00,7.62
2026-02-22T14:37:41.494Z,bank-api-pgbouncer,20.37,1.93,512.00,0.38
2026-02-22T14:37:41.494Z,bank-api-db,71.37,225.20,6144.00,3.67
2026-02-22T14:37:42.518Z,api-bank-app-2,100.44,77.74,1024.00,7.59
2026-02-22T14:37:42.518Z,api-bank-app-1,68.27,78.37,1024.00,7.65
2026-02-22T14:37:42.518Z,bank-api-pgbouncer,21.11,1.93,512.00,0.38
2026-02-22T14:37:42.518Z,bank-api-db,74.74,225.20,6144.00,3.67
2026-02-22T14:37:43.538Z,api-bank-app-2,87.41,77.71,1024.00,7.59
2026-02-22T14:37:43.538Z,api-bank-app-1,97.11,78.10,1024.00,7.63
2026-02-22T14:37:43.538Z,bank-api-pgbouncer,21.47,1.92,512.00,0.38
2026-02-22T14:37:43.538Z,bank-api-db,80.02,225.50,6144.00,3.67
2026-02-22T14:37:44.563Z,api-bank-app-2,87.41,77.71,1024.00,7.59
2026-02-22T14:37:44.563Z,api-bank-app-1,97.11,78.10,1024.00,7.63
2026-02-22T14:37:44.563Z,bank-api-pgbouncer,21.47,1.92,512.00,0.38
2026-02-22T14:37:44.563Z,bank-api-db,80.02,225.50,6144.00,3.67
2026-02-22T14:37:45.582Z,api-bank-app-2,98.64,77.39,1024.00,7.56
2026-02-22T14:37:45.582Z,api-bank-app-1,65.22,78.12,1024.00,7.63
2026-02-22T14:37:45.582Z,bank-api-pgbouncer,20.83,2.18,512.00,0.42
2026-02-22T14:37:45.582Z,bank-api-db,75.41,225.00,6144.00,3.66
2026-02-22T14:37:45.613Z,api-bank-app-2,98.64,77.39,1024.00,7.56
2026-02-22T14:37:45.613Z,api-bank-app-1,84.37,77.94,1024.00,7.61
2026-02-22T14:37:45.613Z,bank-api-pgbouncer,24.16,1.93,512.00,0.38
2026-02-22T14:37:45.613Z,bank-api-db,105.15,225.10,6144.00,3.66
2026-02-22T14:37:46.600Z,api-bank-app-2,76.82,77.73,1024.00,7.59
2026-02-22T14:37:46.600Z,api-bank-app-1,95.16,78.48,1024.00,7.66
2026-02-22T14:37:46.600Z,bank-api-pgbouncer,23.1,1.92,512.00,0.38
2026-02-22T14:37:46.600Z,bank-api-db,83.59,224.80,6144.00,3.66
2026-02-22T14:37:47.635Z,api-bank-app-2,95.33,77.90,1024.00,7.61
2026-02-22T14:37:47.635Z,api-bank-app-1,93.9,78.75,1024.00,7.69
2026-02-22T14:37:47.635Z,bank-api-pgbouncer,24.95,1.93,512.00,0.38
